,MMM,AOS,ABT,ACN,ADM,AAP,AES,AFL,A,APD,ALK,ALB,ARE,ALL,MO,AEE,AXP,AIG,AMT,AWK,AMP,ABC,AME,APH,AON,AJG,AIZ,T,ATO,AZO,AVB,AVY,BKR,BAC,BAX,BDX,WRB,BBY,BIO,BLK,BK,BA,BWA,BXP,BSX,BMY,BR,BRO,CPT,CPB,COF,CAH,KMX,CCL,CAT,CE,CNC,CNP,CF,CRL,CVX,CMG,CB,CHD,CI,C,CFG,CLX,CMS,KO,CL,CMA,CAG,COP,ED,STZ,COO,GLW,CCI,CMI,CVS,DHI,DHR,DRI,DVA,DE,DAL,DVN,DLR,DFS,DIS,DG,D,DPZ,DOV,DOW,DTE,DUK,DD,DXC,EMN,ETN,ECL,EIX,EW,ELV,LLY,EMR,ETR,EOG,EQT,EFX,EQR,ESS,EL,RE,ES,EXR,XOM,FDS,FRT,FDX,FRC,FE,FIS,FLT,FMC,F,FTV,BEN,FCX,IT,GEN,GD,GE,GIS,GM,GPC,GL,GPN,GS,HAL,HIG,HCA,HSY,HES,HPE,HLT,HD,HON,HRL,HWM,HPQ,HUM,HII,IBM,IEX,ITW,IR,ICE,IP,IPG,IFF,IVZ,IQV,IRM,J,JNJ,JCI,JPM,K,KEY,KMB,KIM,KMI,KR,LHX,LH,LW,LVS,LEN,LNC,LIN,LYV,LMT,L,LOW,LYB,MTB,MRO,MPC,MMC,MLM,MAS,MA,MKC,MCD,MCK,MDT,MRK,MET,MTD,MGM,MAA,MHK,MOH,TAP,MCO,MS,MOS,MSI,NEM,NEE,NKE,NI,NSC,NOC,NRG,NUE,NVR,OXY,OMC,OKE,OGN,PKG,PH,PNR,PKI,PFE,PCG,PM,PSX,PNW,PXD,PNC,PPG,PPL,PG,PGR,PLD,PRU,PEG,PSA,PHM,PWR,DGX,RL,RJF,RTX,O,RF,RSG,RMD,RHI,ROK,ROL,ROP,RCL,CRM,SLB,SEE,SRE,NOW,SHW,SPG,SJM,SNA,SO,LUV,SWK,STT,STE,SYK,SYF,SYY,TPR,TGT,TEL,TDY,TFX,TXT,TMO,TJX,TT,TDG,TRV,TFC,TYL,TSN,USB,UDR,UNP,UPS,URI,UNH,UHS,VLO,VTR,VZ,VFC,V,VMC,WAB,WMT,WM,WAT,WEC,WFC,WST,WRK,WY,WHR,WMB,GWW,XYL,YUM,ZBH,ZTS,ATVI,ADBE,ADP,AKAM,ALGN,LNT,GOOGL,GOOG,AMZN,AMD,AAL,AEP,AMGN,ADI,ANSS,APA,AAPL,AMAT,ACGL,ADSK,TECH,BIIB,BKNG,AVGO,CHRW,CDNS,CZR,CDW,CHTR,CINF,CTAS,CSCO,CME,CTSH,CMCSA,CEG,CPRT,CSGP,COST,CSX,XRAY,DXCM,FANG,DISH,DLTR,EBAY,EA,ENPH,EQIX,ETSY,EVRG,EXC,EXPE,EXPD,FFIV,FAST,FITB,FSLR,FISV,FTNT,FOXA,FOX,GRMN,GEHC,GILD,HAS,HSIC,HOLX,HST,HBAN,IDXX,ILMN,INCY,INTC,INTU,ISRG,JBHT,JKHY,KDP,KLAC,KHC,LRCX,LKQ,MKTX,MAR,MTCH,META,MCHP,MU,MSFT,MRNA,MDLZ,MPWR,MNST,NDAQ,NTAP,NFLX,NWL,NWSA,NWS,NDSN,NTRS,NVDA,NXPI,ORLY,ODFL,ON,PCAR,PARA,PAYX,PYPL,PEP,POOL,PFG,PTC,QRVO,QCOM,REG,REGN,ROST,SBAC,STX,SBNY,SWKS,SEDG,SBUX,STLD,SIVB,SNPS,TMUS,TROW,TTWO,TER,TSLA,TXN,TSCO,TRMB,ULTA,UAL,VRSN,VRSK,VRTX,VTRS,WBA,WBD,WDC,WTW,WYNN,XEL,ZBRA,ZION,ABBV,ALLE,AMCR,APTV,ANET,BALL,BBWI,CARR,CTLT,CBOE,CBRE,CDAY,SCHW,CTVA,CTRA,EPAM,GNRC,PEAK,INVH,JNPR,KEYS,LDOS,LUMN,MSCI,NCLH,ORCL,OTIS,PAYC,SPGI,TRGP,VICI,WELL
1983-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-12-31,,,,,2549910000.0,,,,,2222210000.0,,,,,,,,,,,,,,,,,,,75461000.0,,,,,133984706000.0,,1106605000.0,,,,,,,,,,,,,,1991526000.0,,,,,,,,,,,51209000000.0,,,,,,,603875000.0,,,,,901514000.0,13094000000.0,,50419000.0,,,,1258733000.0,,,,,,,3246960000.0,,,,2381195000.0,,,,,,,,,353696000.0,,,375669000.0,,,,,2515651000.0,,,,,,,,,,,,,,991717000.0,,,,,,,,9110000.0,,,,,,,,,,,,,,,,,,,33014000.0,,,6266800000.0,,2218000000.0,,,,,,,,,,,,,90285000.0,,,,,,,,,,1637171000.0,,,,,,,,,,393500000.0,,,,,,,,,,,1348475000.0,417016000.0,,,,,,,,,,,,,2091150000.0,,508028000.0,,,,,,,,,1017862000.0,,,814370000.0,,,,,,,,,,,,8135000000.0,,,,,,,,,,82492000.0,,,,,,,5231100000.0,,,,,,,6644000000.0,,,,99900000.0,,,,,,,,,520188000.0,,,,,,,,747649000.0,,,,,,254572000.0,,,,,,,,,,,,,734715000.0,,,,,,,,,,,,,,,,,,,645234000.0,,,,,,,307598000.0,,,11542000.0,,,,556579000.0,,,,,,,,,,,,,,45800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34679000.0,,5747000.0,,,,,,,29389000.0,,,,,,,,,,,,,,,,,,,,,5817000.0,,,,,,,,,,,,157251000.0,,,,,,,,,,,,,,,,,,,,,,718022000.0,,54073000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-12-31,5760000000.0,437608000.0,2821633000.0,,2592704000.0,,,1352214000.0,,2327928000.0,,,,,9666000000.0,,43981000000.0,10435498000.0,,,,,309237000.0,,2514381000.0,56284000.0,,,86209000.0,,,470023000.0,,133984706000.0,2127000000.0,1129230000.0,297210000.0,,62637000.0,,12797199000.0,12263000000.0,,,,4951000000.0,,,,2210115000.0,,,,,6968000000.0,,,6570742000.0,,,83148000000.0,,,127946000.0,35119000000.0,,,701396000.0,,5228000000.0,2663965000.0,,1304872000.0,16955000000.0,8246893000.0,60597000.0,213322000.0,1774600000.0,,1505542000.0,1492554000.0,,53687000.0,,,5880012000.0,3268822000.0,,,,2739443000.0,154299000.0,7691666000.0,,704444000.0,,8201418000.0,7379445000.0,,397994000.0,,2279000000.0,420326000.0,11035060000.0,,,3413800000.0,3133400000.0,11107166000.0,,653524000.0,176194000.0,,,,,4957927000.0,,62963000000.0,,110204000.0,1525805000.0,,5960374000.0,,,2752395000.0,23868900000.0,,15863000.0,,,,2836200000.0,23288000000.0,2858100000.0,,867721000.0,3062633000.0,,,5833794000.0,,,983944000.0,6217098000.0,,,105230000.0,12705000000.0,512559000.0,6341900000.0,4161000000.0,2577000000.0,,37461000000.0,,449811000.0,,,5617000000.0,969193000.0,458262000.0,,,,110986000.0,4501000000.0,,51166000000.0,1467200000.0,,5750224000.0,,,3529813000.0,1696863000.0,,,,329322000.0,11086249000.0,,,5209000000.0,11510204000.0,520910000.0,,2070765000.0,,,1964247000.0,,,,419461000.0,3727307000.0,1411300000.0,456399000.0,4214698000.0,,,,,,,1155696000.0,,,,3236000000.0,2103727000.0,7679916000.0,559159000.0,,8207497000.0,1596000000.0,,425566000.0,,11774000000.0,,1029922000.0,,,905345000.0,209359000.0,339210000.0,3950400000.0,14721533000.0,,,,,,3614700000.0,6418509000.0,8898000000.0,458859000.0,,,,64123000.0,352664000.0,,,,101829000.0,8720059000.0,,3214303000.0,,,125412000.0,5869500000.0,157971000.0,,,,8353239000.0,,7191000000.0,,939843000.0,,111527000.0,372350000.0,13790161000.0,587259000.0,703566000.0,3987888000.0,,42820000.0,,599689000.0,,2984000000.0,,,100266000.0,2104600000.0,181445000.0,908005000.0,2311164000.0,,10406227000.0,,500233000.0,298170000.0,,28515000.0,10218000000.0,,,,447305000.0,1477179000.0,,,567161000.0,,804451000.0,,1652254000.0,,,,19854200000.0,151985000.0,,5945634000.0,1466503000.0,,602747000.0,,,,,,,781823000.0,,,,,,,512276000.0,4728165000.0,12831843000.0,55342000.0,222537000.0,,534054000.0,788786000.0,113182000.0,,,,,,,,,,,,863399000.0,76807000.0,,,,188647000.0,,,,,10932000000.0,,,,,,,,,,,1710921000.0,8544464000.0,,6134000.0,,,,,,,,,,,,,,,2501428000.0,5425909000.0,,,,1681000000.0,,,45761000.0,,,65063000.0,,39086000.0,,,,,,,117607000.0,,,,,,,,,512265000.0,,,114157000.0,6438196000.0,,,,,,895577000.0,,14183000.0,,4492736000.0,,,,,,,,,,221747000.0,,,,,,,,,,,252559000.0,,2713300000.0,,,,5133643000.0,,,,23968000.0,840803000.0,,123421000.0,,,,,2310969000.0,,,,,,558800000.0,377396000.0,,,,,,,,,,,,,,,,355870000.0,,,,,,1052598000.0,,,
1984-12-31,6094000000.0,413334000.0,3170406000.0,,2967117000.0,,,1591504000.0,,2593455000.0,326024000.0,,,,9339000000.0,,56714000000.0,11624903000.0,,,,,337061000.0,,2720918000.0,197595000.0,,18042100000.0,90309000.0,,,530849000.0,,147533982000.0,2001000000.0,1240908000.0,304484000.0,,66414000.0,,15156758000.0,14677000000.0,,,,5271000000.0,,,,2437525000.0,,,,,6223000000.0,,,7641720000.0,,,83148000000.0,,,142015000.0,39036000000.0,,,778062000.0,,5957000000.0,2568343000.0,,1547138000.0,16955000000.0,8688099000.0,79134000.0,285111000.0,1856800000.0,,1705063000.0,1610659000.0,,186532000.0,,,5697296000.0,3626840000.0,,,,2897285000.0,173963000.0,8077273000.0,,918167000.0,,8970014000.0,8018818000.0,,431403000.0,,2613000000.0,434495000.0,11358730000.0,,,3643900000.0,3256800000.0,12565546000.0,,761867000.0,190142000.0,,,,,5507040000.0,,63278000000.0,,133860000.0,1899506000.0,,6690098000.0,,,2399986000.0,27485600000.0,,32413000.0,,,,2994300000.0,24730000000.0,2654000000.0,,942837000.0,3296859000.0,,,5352302000.0,,,1122567000.0,6352832000.0,,,249364000.0,12705000000.0,525322000.0,6353600000.0,5153000000.0,2720000000.0,,42808000000.0,,483953000.0,,,5795000000.0,1079633000.0,452392000.0,,,,95834000.0,4586000000.0,,278959000000.0,1667100000.0,,6485900000.0,,,3687326000.0,1788530000.0,,,,369245000.0,12604107000.0,,,5390000000.0,12556902000.0,634108000.0,,2241684000.0,,,827400000.0,,,,542482000.0,4229638000.0,1545400000.0,460339000.0,4590600000.0,,,,,,,1215143000.0,,,,4194000000.0,1886407000.0,8160672000.0,503966000.0,,8660922000.0,1958000000.0,,482190000.0,,12273000000.0,,924470000.0,,,1000747000.0,282486000.0,387323000.0,4065700000.0,17319359000.0,,,,,28495000000.0,3796700000.0,6910783000.0,9683000000.0,538082000.0,,,,117070000.0,387741000.0,,,,165837000.0,9904536000.0,,3503626000.0,,,132472000.0,7332800000.0,105688000.0,,,,10913194000.0,,7718000000.0,,1004396000.0,,125611000.0,418922000.0,15327278000.0,646244000.0,720536000.0,4744223000.0,,56640000.0,,681121000.0,,3800000000.0,,,109334000.0,2210000000.0,194099000.0,1155029000.0,2203425000.0,,11425831000.0,,480509000.0,471470000.0,,102447000.0,10392000000.0,,,,489736000.0,1998079000.0,,45047300000.0,807675000.0,,804451000.0,,2205229000.0,,,,21345800000.0,158287000.0,,5957723000.0,1565015000.0,,643739000.0,,,,,,,1018859000.0,,,,,,,512276000.0,5260896000.0,13553153000.0,47852000.0,296087000.0,,489256000.0,936177000.0,148420000.0,,4899000.0,,,,,,,,,,974261000.0,92058000.0,,,,258102000.0,,,,,11473000000.0,,,,,,,,,,,1674065000.0,9555729000.0,,13674000.0,,,,,,,,,,,,665522000.0,,,2904700000.0,5574434000.0,,,,2030000000.0,,,82606000.0,4740000.0,,80603000.0,,48389000.0,,,,,,,133011000.0,65064000.0,,,,,,,,646738000.0,,,119558000.0,7225286000.0,,,,,,1001644000.0,,21128000.0,,4876404000.0,,,,,,,,126048000.0,,275227000.0,,,,,,,,,,,350439000.0,,3423400000.0,,,,5159042000.0,,,,36696000.0,961938000.0,,168985000.0,,,,,2710545000.0,,,,,,622400000.0,567152000.0,,,,,,,,,,,,,,,,378705000.0,,,15463000.0,,,1176714000.0,,,110954000.0
1985-12-31,6593000000.0,534382000.0,3468373000.0,,3315436000.0,,,2271437000.0,,2661028000.0,537049000.0,,,,17429000000.0,,74777000000.0,21022868000.0,,,,,400631000.0,,3195687000.0,197595000.0,,19291100000.0,135723000.0,,,614714000.0,2511054000.0,154725090000.0,6839000000.0,1690916000.0,499992000.0,,71527000.0,,18486200000.0,16514000000.0,,,,6045000000.0,,,,2762785000.0,,,,,6016000000.0,,,8625667000.0,,,76602000000.0,,,148863000.0,44746000000.0,,,849225000.0,8667000000.0,6771000000.0,2814005000.0,,2136889000.0,14045000000.0,8944938000.0,148867000.0,545633000.0,2032400000.0,,1705063000.0,1806673000.0,,268878000.0,,,5462227000.0,3785462000.0,,,,3121000000.0,227566000.0,8292300000.0,,1017018000.0,,9492360000.0,8024163000.0,,467734000.0,,2814000000.0,475148000.0,12593449000.0,,,3953700000.0,4012500000.0,13665037000.0,,861981000.0,221131000.0,,,,,6147720000.0,,69159000000.0,,200141000.0,2276362000.0,,7290417000.0,,,2806674000.0,31603600000.0,,88199000.0,,,,4362600000.0,26162000000.0,2086200000.0,,976513000.0,3740033000.0,,,4661963000.0,,,1197432000.0,6219453000.0,,,380193000.0,17773000000.0,560939000.0,6353600000.0,5680000000.0,2917000000.0,,52634000000.0,,521850000.0,,,6039000000.0,1271844000.0,559855000.0,,,,76130000.0,5255000000.0,,305766000000.0,1726100000.0,,7021000000.0,,,4177807000.0,1793160000.0,,,,334020000.0,13550259000.0,,,6442000000.0,16119782000.0,856191000.0,,2547726000.0,,,1029900000.0,,,,582441000.0,5043146000.0,2087500000.0,527412000.0,4902200000.0,,,,,,,1296707000.0,,,,4370000000.0,1886407000.0,8917353000.0,476838000.0,,9768631000.0,2334000000.0,,560310000.0,,11586000000.0,,936363000.0,,,1269658000.0,305755000.0,429811000.0,4489900000.0,19098003000.0,,,,,43045000000.0,4083800000.0,6965639000.0,13055000000.0,810767000.0,,,10234290000.0,193874000.0,443477000.0,,,,298085000.0,10528105000.0,,3858402000.0,,,132472000.0,7703400000.0,119763000.0,,,,11282232000.0,,8477000000.0,,1055813000.0,,132174000.0,459854000.0,16855181000.0,1022396000.0,778248000.0,6652695000.0,,70697000.0,,781291000.0,,4417000000.0,,,136888000.0,4337400000.0,221650000.0,1581769000.0,2242800000.0,,14571588000.0,,474114000.0,760675000.0,,131182000.0,10710000000.0,,,,659259000.0,1994879000.0,,45753400000.0,860193000.0,,812230000.0,,3103645000.0,,,2291671000.0,21418600000.0,179164000.0,,6005279000.0,1760300000.0,,717800000.0,,,,,,20016000.0,1313414000.0,,,,,,,998152000.0,6421101000.0,13621469000.0,93675000.0,347728000.0,,536378000.0,1160128000.0,148420000.0,,24685000.0,,,,,,,,,,1255046000.0,130758000.0,,,,360998000.0,,,,,11476000000.0,,,,,,,,,,,1678745000.0,10011845000.0,,21552000.0,,,,,33468000.0,,,,,,,845633000.0,,,3663800000.0,8100142000.0,,,,2152000000.0,,,129041000.0,10548000.0,,98177000.0,,48229000.0,,,,,,,131018000.0,170739000.0,,,,,,,,766283000.0,,,113240000.0,7500172000.0,,,,,,1057450000.0,,26467000.0,,5892900000.0,,,,,,,,246800000.0,,305079000.0,,,,,,,,,,,326750000.0,,3076100000.0,,,,6426528000.0,,,,56028000.0,1197082000.0,,215695000.0,,,,,3180500000.0,,,,,,641700000.0,1211510000.0,,,,,,,,,,,163593000.0,,,,,433351000.0,,,57428000.0,,,1273911000.0,,,126959000.0
1986-12-31,7348000000.0,693248000.0,3865609000.0,,3862091000.0,,,3301982000.0,,2705131000.0,671889000.0,,,,17642000000.0,,99302000000.0,21022868000.0,,,,,511823000.0,,5904802000.0,265706000.0,,20299800000.0,143265000.0,,,868136000.0,2188632000.0,153318612000.0,7258000000.0,1891478000.0,873912000.0,87581000.0,99546000.0,,20708850000.0,18820000000.0,,,,6590000000.0,,,,3097400000.0,,,,528085000.0,6761000000.0,,,9027817000.0,,,69523000000.0,,,229689000.0,50016000000.0,,,933317000.0,8667000000.0,7485000000.0,2845935000.0,,2482520000.0,12403000000.0,9267181000.0,160959000.0,851426000.0,2461400000.0,,1989945000.0,1998783000.0,,699025000.0,,,4974267000.0,5342383000.0,60714000.0,,,3806300000.0,224855000.0,9063700000.0,,1036845000.0,,10377125000.0,8226729000.0,,595682000.0,,2933000000.0,475148000.0,13768668000.0,,,4595800000.0,4867800000.0,14090431000.0,,939695000.0,248067000.0,,,,,6299755000.0,,69484000000.0,,305648000.0,2499511000.0,,7926343000.0,,,2685797000.0,37933000000.0,,137886000.0,,,,4552500000.0,34591000000.0,2355400000.0,,1011495000.0,4123427000.0,,,3328028000.0,,,1356303000.0,4904710000.0,,,394741000.0,16406000000.0,584744000.0,9545100000.0,6287000000.0,3209000000.0,,57814000000.0,,1276230000.0,,,7848000000.0,1591036000.0,672616000.0,,,,117381000.0,6014000000.0,,326156000000.0,2084200000.0,,7615400000.0,,,4076447000.0,1796407000.0,,,,331999000.0,16243838000.0,,,8457000000.0,19024309000.0,969219000.0,,4425683000.0,,,1476600000.0,,,,628924000.0,5968507000.0,2207600000.0,559719000.0,5105200000.0,,,,,,,1395922000.0,,,,4682000000.0,1872967000.0,8566067000.0,511843000.0,,9752445000.0,2699000000.0,,571610000.0,,17467000000.0,,919167000.0,,,1482638000.0,445014000.0,452024000.0,5227500000.0,21002253000.0,,,,,50242000000.0,4641400000.0,7139072000.0,13715000000.0,1259164000.0,,,10577822000.0,245143000.0,3882437000.0,,,,855525000.0,11091787000.0,,4456557000.0,,,128805000.0,8739200000.0,117483000.0,,,,8011779000.0,,8669000000.0,,1206900000.0,,152872000.0,526580000.0,18482942000.0,1061419000.0,1207988000.0,7189818000.0,,89323000.0,,860336000.0,,5282000000.0,,,185161000.0,5557100000.0,308890000.0,1879122000.0,2355273000.0,,16565082000.0,,513691000.0,806772000.0,,146846000.0,10863000000.0,,,,602259000.0,1546329000.0,,48493900000.0,1897782000.0,,812230000.0,,4049092000.0,,,2546802000.0,21548000000.0,238225000.0,,6557652000.0,2202300000.0,,819962000.0,,,,,,20016000.0,1444889000.0,,,,,,,909906000.0,7527969000.0,13850130000.0,96809000.0,369031000.0,,644660000.0,1477931000.0,156138000.0,,40347000.0,,,,,,,,,,1552717000.0,161844000.0,,,,1006571000.0,,,,,12905000000.0,,,,,,,,,,,1742830000.0,10170320000.0,,36366000.0,,5946000.0,,,51187000.0,,,,,,,981860000.0,,,4579300000.0,8835915000.0,,,,2080000000.0,,,188586000.0,21823000.0,,115498000.0,,57154000.0,,,,,,,129340000.0,287754000.0,,,,,,,,914462000.0,,,133981000.0,9090107000.0,,,,,,1079450000.0,,32622000.0,,8027100000.0,,,,,,,,264335000.0,,814124000.0,,,,,,,,,,,388383000.0,,3336700000.0,,,,6426528000.0,,,,80323000.0,1361936000.0,,314176000.0,,,,,3297035000.0,,,,,,740100000.0,1377089000.0,,,,,,1566457000.0,,,,,306548000.0,,,,,461108000.0,,,143792000.0,,,1462764000.0,,,156928000.0
1987-12-31,8226000000.0,783582000.0,4385737000.0,,4397564000.0,,,5027575000.0,,2999510000.0,705795000.0,,,,21437000000.0,,116434000000.0,29524074000.0,,,,,521918000.0,,7084166000.0,277991000.0,,21500200000.0,247190000.0,,,1050800000.0,2117526000.0,145163812000.0,7638000000.0,2067533000.0,1064862000.0,139302000.0,131987000.0,,23064895000.0,23190000000.0,,,,7514000000.0,,49345000.0,,3609600000.0,,,,941030000.0,7631000000.0,,,9727688000.0,,,60261000000.0,,,246160000.0,53496000000.0,,,1139319000.0,7992000000.0,8607000000.0,3227653000.0,,3745340000.0,12111000000.0,9411634000.0,139680000.0,1277130000.0,2658700000.0,,2019357000.0,2314249000.0,,647212000.0,,,4759871000.0,5748355000.0,60714000.0,,,5108900000.0,,9864700000.0,,1155225000.0,,11158214000.0,8511794000.0,,661066000.0,,3083000000.0,958898000.0,14350664000.0,,,5254900000.0,5173200000.0,15156832000.0,,974864000.0,273659000.0,,,,,6663794000.0,,74042000000.0,,402315000.0,3008549000.0,,7907045000.0,,,2595060000.0,115994400000.0,,324154000.0,197670000.0,,,5554000000.0,95414000000.0,2673300000.0,,1026843000.0,4240873000.0,,,4272300000.0,,,1544354000.0,5304808000.0,,,528270000.0,15628000000.0,697970000.0,9901900000.0,8133000000.0,3422000000.0,,70029000000.0,128124000.0,1334063000.0,,,8710000000.0,1939768000.0,874554000.0,,,,179643000.0,6789000000.0,,326156000000.0,2680900000.0,,8366200000.0,,,4460126000.0,1618117000.0,322300000.0,,,537948000.0,18003923000.0,,,9963000000.0,22209210000.0,1027329000.0,,5176905000.0,,,1634400000.0,,,,718033000.0,6981609000.0,2139600000.0,640802000.0,5680000000.0,,,,,,,1456493000.0,,,,5517000000.0,1265305000.0,11229099000.0,709095000.0,3821690000.0,9831600000.0,3124000000.0,,654089000.0,2118105000.0,16739000000.0,,958090000.0,,,1754263000.0,440356000.0,515458000.0,6872300000.0,21733652000.0,,,,,55969000000.0,5007700000.0,7457346000.0,14820000000.0,1782500000.0,,,10857551000.0,244287000.0,3742186000.0,,,,534116000.0,12873500000.0,,4390861000.0,,,155691000.0,9306000000.0,146526000.0,,,,6740968000.0,,10399000000.0,,1209525000.0,,170025000.0,615817000.0,19517692000.0,1042640000.0,1387517000.0,6955225000.0,,104965000.0,,1020912000.0,,6076000000.0,,,225908000.0,11457500000.0,426148000.0,1879122000.0,2252049000.0,,18540887000.0,,513691000.0,889095000.0,,161323000.0,10919000000.0,,,210247000.0,562443000.0,964698000.0,,52299000000.0,1925656000.0,,945849000.0,,5131809000.0,2137000.0,,2741757000.0,20749100000.0,280070000.0,,12921652000.0,3136700000.0,,832067000.0,,,,,,32302000.0,1653525000.0,,,996033000.0,,,,1057012000.0,8423300000.0,14010963000.0,192835000.0,397348000.0,,503408000.0,2082086000.0,232626000.0,,125451000.0,,,,,,85416000.0,,,,1792461000.0,179892000.0,,,,1034876000.0,,,,1445815000.0,12738000000.0,,,,,,,,,,,1729555000.0,11209736000.0,,44876000.0,,12273000.0,,,78869000.0,,,,,,,1075989000.0,,2323000.0,5371000000.0,8835915000.0,,,,2500000000.0,,,250274000.0,13527000.0,,134625000.0,,66348000.0,,,,,,,387501000.0,493019000.0,,,,,,,,1558085000.0,,,164212000.0,9325700000.0,,,,,,2409331000.0,3936877000.0,42485000.0,,9022700000.0,,,3583000.0,,,,,230746000.0,,1093954000.0,,,,,,201438000.0,,,,,397911000.0,,3957200000.0,,,,8388647000.0,,,,108801000.0,1511880000.0,,550706000.0,,,,,3019715000.0,,,,,,784800000.0,1929477000.0,,,,,,2020050000.0,,,,,324325000.0,,,,,474790000.0,,,249568000.0,,,1619935000.0,,,181718000.0
