,Instrument,Date,Free Cash Flow
119,ABT,2011-12-31T00:00:00Z,-259000000.0
120,ABT,2012-12-31T00:00:00Z,-1959000000.0
121,ABT,2013-12-31T00:00:00Z,1680000000.0
122,ABT,2014-12-31T00:00:00Z,850000000.0
123,ABT,2015-12-31T00:00:00Z,1525000000.0
124,ABT,2016-12-31T00:00:00Z,-244000000.0
125,ABT,2017-12-31T00:00:00Z,1850000000.0
126,ABT,2018-12-31T00:00:00Z,2374000000.0
127,ABT,2019-12-31T00:00:00Z,2707000000.0
128,ABT,2020-12-31T00:00:00Z,3087000000.0
130,ACN,1998-08-31T00:00:00Z,
131,ACN,1998-08-31T00:00:00Z,
132,ACN,1998-08-31T00:00:00Z,
133,ACN,1998-08-31T00:00:00Z,
134,ACN,1998-08-31T00:00:00Z,
135,ACN,1998-08-31T00:00:00Z,
136,ACN,1998-08-31T00:00:00Z,
137,ACN,1998-08-31T00:00:00Z,
138,ACN,1998-08-31T00:00:00Z,
139,ACN,1998-08-31T00:00:00Z,
140,ACN,1998-08-31T00:00:00Z,
141,ACN,1998-08-31T00:00:00Z,
142,ACN,1998-08-31T00:00:00Z,
143,ACN,1998-08-31T00:00:00Z,
144,ACN,1998-08-31T00:00:00Z,
145,ACN,1998-08-31T00:00:00Z,
146,ACN,1998-08-31T00:00:00Z,
147,ACN,1998-08-31T00:00:00Z,
148,ACN,1998-08-31T00:00:00Z,
149,ACN,1998-08-31T00:00:00Z,1586630000.0
150,ACN,1999-08-31T00:00:00Z,1934530000.0
151,ACN,2000-08-31T00:00:00Z,2385546000.0
152,ACN,2001-08-31T00:00:00Z,171383000.0
153,ACN,2002-08-31T00:00:00Z,599017000.0
154,ACN,2003-08-31T00:00:00Z,1072358000.0
155,ACN,2004-08-31T00:00:00Z,1198121000.0
156,ACN,2005-08-31T00:00:00Z,1473206000.0
157,ACN,2006-08-31T00:00:00Z,1210932000.0
158,ACN,2007-08-31T00:00:00Z,1510126000.0
159,ACN,2008-08-31T00:00:00Z,2034556000.0
160,ACN,2009-08-31T00:00:00Z,1814836000.0
161,ACN,2010-08-31T00:00:00Z,1472784000.0
162,ACN,2011-08-31T00:00:00Z,2019140000.0
163,ACN,2012-08-31T00:00:00Z,2095647000.0
164,ACN,2013-08-31T00:00:00Z,2656216000.0
165,ACN,2014-08-31T00:00:00Z,2219915000.0
166,ACN,2015-08-31T00:00:00Z,2247908000.0
167,ACN,2016-08-31T00:00:00Z,3209910000.0
168,ACN,2017-08-31T00:00:00Z,2132513000.0
169,ACN,2018-08-31T00:00:00Z,2695644000.0
170,ACN,2019-08-31T00:00:00Z,3003453000.0
171,ACN,2020-08-31T00:00:00Z,3272701000.0
172,ACN,2021-08-31T00:00:00Z,4001546000.0
174,ADM,1983-06-30T00:00:00Z,
175,ADM,1983-06-30T00:00:00Z,
176,ADM,1983-06-30T00:00:00Z,
177,ADM,1983-06-30T00:00:00Z,
178,ADM,1983-06-30T00:00:00Z,63577000.0
179,ADM,1984-06-30T00:00:00Z,78058000.0
180,ADM,1985-06-30T00:00:00Z,123593000.0
181,ADM,1986-06-30T00:00:00Z,168787000.0
182,ADM,1987-06-30T00:00:00Z,114129000.0
183,ADM,1988-06-30T00:00:00Z,249855000.0
184,ADM,1989-06-30T00:00:00Z,333197000.0
185,ADM,1990-06-30T00:00:00Z,378682000.0
186,ADM,1991-06-30T00:00:00Z,230794000.0
187,ADM,1992-06-30T00:00:00Z,287949000.0
188,ADM,1993-06-30T00:00:00Z,439481000.0
189,ADM,1994-06-30T00:00:00Z,291840000.0
190,ADM,1995-06-30T00:00:00Z,576970000.0
191,ADM,1996-06-30T00:00:00Z,250806000.0
192,ADM,1997-06-30T00:00:00Z,-59864000.0
193,ADM,1998-06-30T00:00:00Z,120027000.0
194,ADM,1999-06-30T00:00:00Z,77693000.0
195,ADM,2000-06-30T00:00:00Z,356394000.0
196,ADM,2001-06-30T00:00:00Z,557453000.0
197,ADM,2002-06-30T00:00:00Z,584695000.0
198,ADM,2003-06-30T00:00:00Z,503243000.0
199,ADM,2004-06-30T00:00:00Z,496977000.0
200,ADM,2005-06-30T00:00:00Z,875793000.0
201,ADM,2006-06-30T00:00:00Z,964780000.0
202,ADM,2007-06-30T00:00:00Z,1384000000.0
203,ADM,2008-06-30T00:00:00Z,458000000.0
204,ADM,2009-06-30T00:00:00Z,173000000.0
205,ADM,2010-06-30T00:00:00Z,797000000.0
206,ADM,2011-06-30T00:00:00Z,1253000000.0
207,ADM,2011-06-30T00:00:00Z,1253000000.0
208,ADM,2011-06-30T00:00:00Z,
209,ADM,2013-12-31T00:00:00Z,849000000.0
210,ADM,2014-12-31T00:00:00Z,1629000000.0
211,ADM,2015-12-31T00:00:00Z,916000000.0
212,ADM,2016-12-31T00:00:00Z,605000000.0
213,ADM,2017-12-31T00:00:00Z,368000000.0
214,ADM,2018-12-31T00:00:00Z,1123000000.0
215,ADM,2019-12-31T00:00:00Z,794000000.0
216,ADM,2020-12-31T00:00:00Z,1118000000.0
219,AAP,1999-01-02T00:00:00Z,
220,AAP,1999-01-02T00:00:00Z,
221,AAP,1999-01-02T00:00:00Z,
222,AAP,1999-01-02T00:00:00Z,
223,AAP,1999-01-02T00:00:00Z,
224,AAP,1999-01-02T00:00:00Z,
225,AAP,1999-01-02T00:00:00Z,
226,AAP,1999-01-02T00:00:00Z,
227,AAP,1999-01-02T00:00:00Z,
228,AAP,1999-01-02T00:00:00Z,
229,AAP,1999-01-02T00:00:00Z,
230,AAP,1999-01-02T00:00:00Z,
231,AAP,1999-01-02T00:00:00Z,
232,AAP,1999-01-02T00:00:00Z,
233,AAP,1999-01-02T00:00:00Z,
234,AAP,1999-01-02T00:00:00Z,
235,AAP,1999-01-02T00:00:00Z,
236,AAP,1999-01-02T00:00:00Z,
237,AAP,1999-01-02T00:00:00Z,
238,AAP,1999-01-02T00:00:00Z,-37313000.0
239,AAP,2000-01-01T00:00:00Z,-69713000.0
240,AAP,2000-12-30T00:00:00Z,15147000.0
241,AAP,2000-12-30T00:00:00Z,15147000.0
242,AAP,2001-12-29T00:00:00Z,18607000.0
243,AAP,2002-12-28T00:00:00Z,58052000.0
244,AAP,2004-01-03T00:00:00Z,124847000.0
245,AAP,2005-01-01T00:00:00Z,113138000.0
246,AAP,2005-12-31T00:00:00Z,138449000.0
247,AAP,2006-12-30T00:00:00Z,93002000.0
248,AAP,2007-12-29T00:00:00Z,149829000.0
249,AAP,2009-01-03T00:00:00Z,176451000.0
250,AAP,2010-01-02T00:00:00Z,205553000.0
251,AAP,2011-01-01T00:00:00Z,289854000.0
252,AAP,2011-12-31T00:00:00Z,283948000.0
253,AAP,2012-12-29T00:00:00Z,288436000.0
254,AAP,2013-12-28T00:00:00Z,386222000.0
255,AAP,2015-01-03T00:00:00Z,532492000.0
256,AAP,2016-01-02T00:00:00Z,497786000.0
257,AAP,2016-12-31T00:00:00Z,446326000.0
258,AAP,2017-12-30T00:00:00Z,378393000.0
259,AAP,2018-12-29T00:00:00Z,448958000.0
260,AAP,2019-12-28T00:00:00Z,236463000.0
261,AAP,2021-01-02T00:00:00Z,418968000.0
262,AES,1989-12-31T00:00:00Z,
263,AES,1989-12-31T00:00:00Z,
264,AES,1989-12-31T00:00:00Z,
265,AES,1989-12-31T00:00:00Z,
266,AES,1989-12-31T00:00:00Z,
267,AES,1989-12-31T00:00:00Z,
268,AES,1989-12-31T00:00:00Z,
269,AES,1989-12-31T00:00:00Z,
270,AES,1989-12-31T00:00:00Z,
271,AES,1989-12-31T00:00:00Z,
272,AES,1989-12-31T00:00:00Z,
273,AES,1989-12-31T00:00:00Z,-283460000.0
274,AES,1990-12-31T00:00:00Z,-185613000.0
275,AES,1992-12-31T00:00:00Z,-56590000.0
276,AES,1992-12-31T00:00:00Z,-56590000.0
277,AES,1993-12-31T00:00:00Z,84199000.0
278,AES,1994-12-31T00:00:00Z,117900000.0
279,AES,1995-12-31T00:00:00Z,-28000000.0
280,AES,1996-12-31T00:00:00Z,-324000000.0
281,AES,1997-12-31T00:00:00Z,-224000000.0
282,AES,1998-12-31T00:00:00Z,23000000.0
283,AES,1999-12-31T00:00:00Z,-243000000.0
284,AES,2000-12-31T00:00:00Z,-707000000.0
285,AES,2001-12-31T00:00:00Z,-1930000000.0
286,AES,2002-12-31T00:00:00Z,-3418000000.0
287,AES,2003-12-31T00:00:00Z,-40000000.0
288,AES,2004-12-31T00:00:00Z,347000000.0
289,AES,2005-12-31T00:00:00Z,625000000.0
290,AES,2006-12-31T00:00:00Z,-80000000.0
291,AES,2007-12-31T00:00:00Z,-721000000.0
292,AES,2008-12-31T00:00:00Z,-7000000.0
293,AES,2009-12-31T00:00:00Z,98000000.0
294,AES,2010-12-31T00:00:00Z,165000000.0
295,AES,2011-12-31T00:00:00Z,436000000.0
296,AES,2012-12-31T00:00:00Z,-1199000000.0
297,AES,2013-12-31T00:00:00Z,-108000000.0
298,AES,2014-12-31T00:00:00Z,157000000.0
299,AES,2015-12-31T00:00:00Z,-863000000.0
300,AES,2016-12-31T00:00:00Z,-1304000000.0
301,AES,2017-12-31T00:00:00Z,-1505000000.0
302,AES,2018-12-31T00:00:00Z,-110000000.0
303,AES,2019-12-31T00:00:00Z,-1073000000.0
304,AES,2020-12-31T00:00:00Z,-941000000.0
305,AFL,1995-12-31T00:00:00Z,
306,AFL,1995-12-31T00:00:00Z,
307,AFL,1995-12-31T00:00:00Z,
308,AFL,1995-12-31T00:00:00Z,
309,AFL,1995-12-31T00:00:00Z,
310,AFL,1995-12-31T00:00:00Z,
311,AFL,1995-12-31T00:00:00Z,
312,AFL,1995-12-31T00:00:00Z,
313,AFL,1995-12-31T00:00:00Z,
314,AFL,1995-12-31T00:00:00Z,
315,AFL,1995-12-31T00:00:00Z,
316,AFL,1995-12-31T00:00:00Z,
317,AFL,1995-12-31T00:00:00Z,
318,AFL,1995-12-31T00:00:00Z,
319,AFL,1995-12-31T00:00:00Z,
320,AFL,1995-12-31T00:00:00Z,
321,AFL,1995-12-31T00:00:00Z,326008000.0
322,AFL,1995-12-31T00:00:00Z,326008000.0
323,AFL,1996-12-31T00:00:00Z,380100000.0
324,AFL,1997-12-31T00:00:00Z,552023000.0
325,AFL,1998-12-31T00:00:00Z,413000000.0
326,AFL,1999-12-31T00:00:00Z,518000000.0
327,AFL,2000-12-31T00:00:00Z,612000000.0
328,AFL,2001-12-31T00:00:00Z,584000000.0
329,AFL,2002-12-31T00:00:00Z,744000000.0
330,AFL,2003-12-31T00:00:00Z,660000000.0
331,AFL,2004-12-31T00:00:00Z,1149000000.0
332,AFL,2005-12-31T00:00:00Z,1362000000.0
333,AFL,2006-12-31T00:00:00Z,1261000000.0
334,AFL,2007-12-31T00:00:00Z,1280000000.0
335,AFL,2008-12-31T00:00:00Z,845000000.0
336,AFL,2009-12-31T00:00:00Z,1054000000.0
337,AFL,2010-12-31T00:00:00Z,1875000000.0
338,AFL,2011-12-31T00:00:00Z,1449000000.0
339,AFL,2012-12-31T00:00:00Z,2330000000.0
340,AFL,2013-12-31T00:00:00Z,2592000000.0
341,AFL,2014-12-31T00:00:00Z,2352000000.0
342,AFL,2015-12-31T00:00:00Z,1927000000.0
343,AFL,2016-12-31T00:00:00Z,2055000000.0
344,AFL,2017-12-31T00:00:00Z,2063000000.0
